# convergence of first eigenvalue of Kol operator with bistable potential for increasing mesh resolution (8 -> 256)
# generated from Kol_stat_mea_eigen_convergence_first_eigen.freefem
# see conv_order.m
# r = 4.5

# 1st eigenvalue for P1
8 -0.8441069143478424
16 -0.8058159443963826
32 0.
64 -0.7930075548017084
128 -0.7923190273109462
256 -0.792146128137855
512 -0.792102855183316
1024 -0.792092033931411

# 1st eigenvalue for P2
8 -6.050736626504969e-05
16 -0.1405836752557672
32 -0.7920998471990323
64 -0.7920891513460608
128 -0.7920884720522533
256 -0.7920884294241576


100 -0.7925543006893134
10 -0.8933915076137918
20 -0.8153521946154796
10 -0.8933915076137918
10 -0.8933915076137925
60 -0.7949638828120257
80 -0.7937164351226272
88 -0.7934358504823642
64 -0.7930075548017084
31 -0.7959462797341499
33 -0.7955008250894294
